"quarter_date","quarter_name","hb_code","hb_name","loc_code","loc_name","appt_type","count","rate"
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",5492,NA
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6052,NA
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",5884,NA
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",5814,NA
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",5664,NA
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",5809,NA
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6190,NA
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6199,NA
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6388,NA
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6207,NA
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",5980,NA
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6029,NA
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6290,NA
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6494,NA
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6516,NA
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6311,NA
