dz2011,dz2011name,iz2011,iz2011name,hb2019,hb2019name,hb2018,hb2014,hscp2019,hscp2019name,hscp2018,hscp2016,ca2019,ca2019name,ca2018,ca2011,simd2020_rank,simd2020_sc_decile,simd2020_sc_quintile,simd2020_hb2019_decile,simd2020_hb2019_quintile,simd2020_hscp2019_decile,simd2020_hscp2019_quintile,simd2020_ca2019_decile,simd2020_ca2019_quintile,simd2020tp15,simd2020bt15,simd2020_educ_rank,simd2020_emp_rate,simd2020_emp_dep_n,simd2020_emp_rank,simd2020_hlth_rank,simd2020_house_rank,simd2020_inc_rate,simd2020_inc_dep_n,simd2020_inc_rank,simd2020_access_rank,simd2020_crime_rate,simd2020_crime_count,simd2020_crime_rank,pop_2017
S01006506,Culter - 01,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4732,7,4,6,3,6,3,6,3,0,0,5887,0.08,49,3220,5174,3248,0.08,71,4044.5,4724,124.59942,11.139188,4664,894
S01006507,Culter - 02,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4820,7,4,6,3,6,3,6,3,0,0,4384,0.05,25,4481,5051,3486,0.05,43,4675,2148,127.69905,10.126535,4602,793
S01006508,Culter - 03,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5821,9,5,8,4,7,4,7,4,0,0,5915,0.04,19,5110,5942,5342,0.06,40,4785.5,4200,129.827368,8.101228,4563.5,624
S01006509,Culter - 04,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4205,6,3,5,3,5,3,5,3,0,0,6401,0.08,26,3229,3871,4394.5,0.1,52,3193,3982,75.430426,4.050614,5626,537
S01006510,Culter - 05,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3903,6,3,4,2,5,3,5,3,0,0,4092,0.08,32,3448,3049,3736,0.1,68,3305,5588,168.011888,11.139188,3885,663
S01006511,Culter - 06,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6231,9,5,9,5,8,4,8,4,0,1,5410,0.04,17,5346,5783,5924,0.04,30,5356,4974,NA,NA,6928,759
S01006512,Culter - 07,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5690,9,5,8,4,7,4,7,4,0,0,6506,0.02,8,6206,6586,4815,0.02,13,6269,547,131.513438,7.088574,4528,539
S01006513,"Cults, Bieldside and Milltimber West - 01",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6120,9,5,9,5,8,4,8,4,0,1,6531,0.03,13,5695,5516,6394,0.02,14,6387,1490,NA,NA,6928,788
S01006514,"Cults, Bieldside and Milltimber West - 02",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6711,10,5,10,5,9,5,9,5,0,1,6847,0.02,12,6658,6733,6868,0.02,17,6690,1858,81.156556,9.113881,5507,1123
S01006515,"Cults, Bieldside and Milltimber West - 03",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6363,10,5,9,5,8,4,8,4,0,1,6838,0.01,7,6803,6846,6174.5,0.01,5,6952.5,659,NA,NA,6844,816
